Task ID,Task Description,Owner,Due Date,Status,Priority,Notes,Amount/Value,Date Updated
FIN-001,"Review CIBC $5,000 sponsorship letter",Judy,"Dec 15, 2025",Not Started,Critical,Potential major sponsor,"$5,000","Dec 2, 2025"
FIN-002,Schedule Doctor Dads charity meeting,"Charles, Greg K.","Dec 20, 2025",Not Started,Critical,Primary charity partner - finalize details,,"Dec 2, 2025"
FIN-003,Contact Nickel Brook Brewery,Myles,"Dec 20, 2025",Not Started,High,"Already interested, sponsored pinball event",TBD,"Dec 2, 2025"
FIN-004,Reach out to Cielo (winter caps),Myles,"Dec 31, 2025",Not Started,High,"Montreal-based, $40-50 value per cap, 100 caps = $4-5K value","$4,000-5,000 in-kind","Dec 2, 2025"
FIN-005,Contact Canadian clothing manufacturers,Myles,"Jan 15, 2026",Not Started,Medium,For merchandise/swag,,"Dec 2, 2025"
FIN-006,Face-to-face meetings with potential sponsors,"Myles, Charles",Ongoing,Not Started,High,Personal contact more effective than email,,"Dec 2, 2025"
FIN-007,"Approach local gyms, coffee shops, restaurants",Myles,"Jan 31, 2026",Not Started,Medium,,,"Dec 2, 2025"
FIN-008,Follow up with On Running (shoe sponsor),Greg K.,"Jan 15, 2026",Not Started,High,Already approached,,"Dec 2, 2025"
FIN-009,Contact real estate agents (multiple interested),"Greg K., Charles","Jan 31, 2026",Not Started,Medium,Exclusive category - 3-year commitment required,,"Dec 2, 2025"
FIN-010,Contact Tim Hortons for mobile unit,Greg K.,"Jan 31, 2026",Not Started,Medium,Just send letter - FREE,FREE,"Dec 2, 2025"
FIN-011,Contact sports drink companies for swag bags,Myles,"Feb 15, 2026",Not Started,Medium,Individual bottles for bags,,"Dec 2, 2025"
FIN-012,Finalize t-shirt pricing and production,"Greg K., Brent","Mar 15, 2026",Not Started,High,"Cotton $5-9/shirt, tech upgrade +$6",,"Dec 2, 2025"
FIN-013,Coordinate event liability insurance,"Judi, Jocelyn","Mar 31, 2026",Not Started,Critical,$2-5M coverage required,"$2,000-5,000","Dec 2, 2025"
,,,,,,,,
SPONSORSHIP TARGETS,,,,,,,,
,"Running Industry: On Running, Brooks, Nike, Cielo",,,,,,,
,"Banks: CIBC ($5K potential), TD, RBC",,,,,,,
,"Breweries: Nickel Brook, Mill Street, Brock's Beer",,,,,,,
,"Local: Dr. Frank Physio, Be Active, Primal, coffee shops",,,,,,,
,,,,,,,,
BUDGET OVERVIEW,,,,,,,,
,Revenue Target:,,,,,,"$84,750-89,750",
,Current Net Revenue:,,,,,,"$1,768.45",
,Registration Revenue:,,,,,,"$1,565.00",
,Tax Collected (to remit):,,,,,,$203.45,
,,,,,,,,
EXCLUSIVITY RULE,,,,,,,,
,3-year commitment required for exclusive category,,,,,,,
,"Examples: Only one real estate agent, physio, bank, shoe company",,,,,,,
