Task ID,Task Description,Owner,Due Date,Status,Priority,Notes,Target #,Date Updated
VOL-001,Finalize volunteer role list with assignments,Adriana,"Jan 15, 2026",Not Started,High,Define all roles needed,,"Dec 2, 2025"
VOL-002,Create volunteer recruitment strategy,Adriana,"Jan 7, 2026",Not Started,High,Plan for each volunteer source,,"Dec 2, 2025"
VOL-003,Contact high schools about volunteer opportunities,Adriana,"Jan 15, 2026",Not Started,High,Students need volunteer hours for credit,50+,"Dec 2, 2025"
VOL-004,"Recruit hockey teams (Oakville Rangers, etc.)",Adriana,"Jan 31, 2026",Not Started,High,Teams volunteer together (10-20 at once),20-40,"Dec 2, 2025"
VOL-005,Prepare volunteer orientation materials,Adriana,"May 15, 2026",Not Started,Medium,"Instructions, expectations, schedule",,"Dec 2, 2025"
VOL-006,Create volunteer schedule and shifts,Adriana,"May 31, 2026",Not Started,High,Assign shifts and locations,,"Dec 2, 2025"
VOL-007,Consider background checks for bike rack volunteers,Adriana,"Apr 30, 2026",Not Started,Medium,Bikes worth $10-50K - need responsible volunteers,,"Dec 2, 2025"
VOL-008,Assign volunteer shift leaders,Adriana,"Jun 1, 2026",Not Started,High,Adult leaders for high school groups,,"Dec 2, 2025"
VOL-009,Create 'Do One Thing' task list for Bronte Runners,"Adriana, Greg K.","Dec 20, 2025",Not Started,High,Specific tasks for members to claim,,"Dec 2, 2025"
VOL-010,Reach out to running club members for volunteering,Adriana,"Jan 31, 2026",Not Started,Medium,Bronte Runners who aren't racing,20-30,"Dec 2, 2025"
VOL-011,Coordinate volunteer check-in station (Race Day),Adriana,"Jun 21, 2026",Not Started,High,"T-shirts, instructions, assignments",,"Dec 2, 2025"
,,,,,,,,
VOLUNTEER TARGETS,,,,,,,,
,Minimum Needed: 50 volunteers,,,,,,50,
,Recruitment Goal: 130 volunteers,,,,,,130,
,Expected Show-up: 100 volunteers,,,,,,100,
,,,,,,,,
VOLUNTEER SOURCES,,,,,,,,
,High School Students - need volunteer hours,,,,,,50+,
,Hockey Teams - 10-20 volunteers at once,,,,,,20-40,
,Bronte Runners - members not racing,,,,,,20-30,
,Community Members - family of runners,,,,,,10-20,
,,,,,,,,
VOLUNTEER ROLES,,,,,,,,
,"HIGH RESPONSIBILITY: Start/finish, timing, traffic, registration, bike rack",,,,,,,
,"MEDIUM: Water stations, course marshals, setup/cleanup, parking",,,,,,,
,"LOWER (good for students): Handing out bananas/water, cheering, signage",,,,,,,
,,,,,,,,
IMPORTANT NOTES,,,,,,,,
,"High school students NOT appropriate for: traffic control, bike rack (expensive equipment)",,,,,,,
,Bike rack needs fenced area with responsible adult volunteers,,,,,,,
