Priority,Task,Committee,Owner,Due Date,Status,Notes,Last Updated
🔴 CRITICAL,Confirm early-bird deadline (Dec 4 or 5),Registration,Ursula,"Dec 3, 2025",In Progress,Final extension - NO MORE after this,"Dec 2, 2025"
🔴 CRITICAL,Finalize traffic control plan,Route & Safety,Charles,"Dec 15, 2025",In Progress,"Consultant preparing plan, expected end of week","Dec 2, 2025"
🔴 CRITICAL,Create WhatsApp group for team,Oversight,Greg K.,"Dec 5, 2025",Not Started,Collect phone numbers from all leads,"Dec 2, 2025"
🔴 CRITICAL,Deploy 15% promo codes,Registration,Ursula,"Dec 6, 2025",Not Started,After early-bird ends,"Dec 2, 2025"
🟠 HIGH,Share Google Drive link for photos/videos,Marketing,Greg K.,"Dec 5, 2025",Not Started,Team to submit content before Jan 7,"Dec 2, 2025"
🟠 HIGH,"Review CIBC $5,000 sponsorship letter",Sponsorship,Judy,"Dec 15, 2025",Not Started,Potential major sponsor,"Dec 2, 2025"
🟠 HIGH,Schedule Doctor Dads charity meeting,Sponsorship,"Charles, Greg K.","Dec 20, 2025",Not Started,Primary charity partner,"Dec 2, 2025"
🟠 HIGH,Contact Nickel Brook Brewery,Sponsorship,Myles,"Dec 20, 2025",Not Started,"Already interested, sponsored previous events","Dec 2, 2025"
🟠 HIGH,Create content calendar,Marketing,"Liz, Patricia, Gus","Dec 20, 2025",Not Started,Plan for Q1 2026 content,"Dec 2, 2025"
🟠 HIGH,Submit traffic control plan to City,Route & Safety,Charles,"Jan 15, 2026",Not Started,After plan finalized and team review,"Dec 2, 2025"
🟡 MEDIUM,Contact high schools for volunteers,Volunteers,Adriana,"Jan 7, 2026",Not Started,Target volunteer hours students,"Dec 2, 2025"
🟡 MEDIUM,Reach out to Cielo (winter caps),Sponsorship,Myles,"Dec 31, 2025",Not Started,"Montreal-based, $40-50 value per cap","Dec 2, 2025"
🟡 MEDIUM,Finalize flyer design,Marketing,"Liz, Patricia","Dec 15, 2025",In Progress,In progress,"Dec 2, 2025"
🟡 MEDIUM,Confirm Robbie Burns partnership,Marketing,"Greg K., Greg Pace","Dec 20, 2025",Not Started,20 Bronte runners commit for booth opportunity,"Dec 2, 2025"
🟡 MEDIUM,Recruit hockey teams as volunteers,Volunteers,Adriana,"Jan 15, 2026",Not Started,Teams can volunteer together (10-20 at once),"Dec 2, 2025"
🟢 NORMAL,Update dashboard with Dec 2 meeting notes,Oversight,Greg K.,"Dec 5, 2025",Completed,Meeting notes added,"Dec 3, 2025"
🟢 NORMAL,Finalize park layout with city,Park Layout,"Jocelyn, Judy","Jan 31, 2026",Not Started,,"Dec 2, 2025"
🟢 NORMAL,Plan bike rack fencing area,Park Layout,"Jocelyn, Judy","Feb 15, 2026",Not Started,Fenced area with volunteer supervision,"Dec 2, 2025"
